link,price,pid,name
/zook-brilliant/p/itmdyp53jhkxgxms?pid=MOBDYP53SPGXXGVZ&srno=b_2572&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 1,000",MOBDYP53SPGXXGVZ,Zook Brilliant (Grey)
/videocon-a-54/p/itmdszdbhzspzy4k?pid=MOBDSZD84XNQZGHD&srno=b_2527&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDSZD84XNQZGHD,Videocon A 54 (White)
/olive-adroit-v-sw520/p/itmdzjvpxgaamxja?pid=MOBDZSGZQ9QZYTHY&srno=b_2528&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDZSGZQ9QZYTHY,Olive Adroit V-SW520 (Black)
/salora-sm203/p/itmdrhtcnfzdrru9?pid=MOBDTQF53RKCDFKK&srno=b_2529&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDTQF53RKCDFKK,Salora SM203 (White)
/zook-tulip/p/itmdzkd6mvhtfqdy?pid=MOBDZKD9VCZ2UGNG&srno=b_2573&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,Rs. 950,MOBDZKD9VCZ2UGNG,Zook Tulip (Gold & Black)
/karbonn-k202-plus-wb/p/itmey8kvrptsk5fh?pid=MOBEY8KVJDBUNRHH&srno=b_2574&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,Rs. 975,MOBEY8KVJDBUNRHH,Karbonn K202 Plus WB (BlacK & White)
/xolo-a510s/p/itmduuebdd9b54gy?pid=MOBDUUDTGYGWHNS7&srno=b_2575&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 6,237",MOBDUUDTGYGWHNS7,XOLO A510S
/xolo-q2000/p/itmduzgzusxatsyk?pid=MOBDQC4AQHP9GTMV&srno=b_2530&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 12,867",MOBDQC4AQHP9GTMV,XOLO Q2000 (Black)
/hitech-rider-f2/p/itmdq3ehmu75wfm3?pid=MOBDQ3EHS5S63UFU&srno=b_2531&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDQ3EHS5S63UFU,Hitech Rider F2 (Black)
/huawei-ascend-p6/p/itmdz65kgrb3mvjx?pid=MOBDZ64QAFZPVPZA&srno=b_2532&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 23,000",MOBDZ64QAFZPVPZA,Huawei Ascend P6 (White)
/micromax-canvas-fun-a74/p/itmdv6f3yeattedv?pid=MOBDZAKXC6RWDQCV&srno=b_2576&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 6,998",MOBDZAKXC6RWDQCV,Micromax Canvas Fun A74 (Red)
/intex-aqua-n15/p/itmdxu9dg8zygtsj?pid=MOBDXU9DD9YRY2GG&srno=b_2577&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 6,199",MOBDXU9DD9YRY2GG,Intex Aqua N15 (Blue)
/intex-cloud-x3-plus/p/itmduzv5xfqkdzdq?pid=MOBDUZV5FBVXJ52Z&srno=b_2578&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 2,990",MOBDUZV5FBVXJ52Z,Intex Cloud X3 Plus (White)
/spice-boss-power-m-5374/p/itmdpprnjqgzfdzg?pid=MOBDPPRMMHJGEBM7&srno=b_2533&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDPPRMMHJGEBM7,Spice Boss Power M-5374 (Silver)
/samsung-rex-80-s5222r/p/itmdgccxvvtzrmyk?pid=MOBDGHAMYQ4WTYGH&srno=b_2534&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,"Rs. 4,879",MOBDGHAMYQ4WTYGH,Samsung Rex 80 S5222R (Silver)
/zen-u-504-b/p/itmdthjh4fnumepq?pid=MOBDTKWZ77AWYAG2&srno=b_2535&ref=b2c7331e-c911-466b-9b08-f9b4061cdc4b,N/A,MOBDTKWZ77AWYAG2,Zen U 504 B (Black)
/lg-cookie-smart-t-375/p/itmdzkkhmtm4unpf?pid=MOBDBJNGGJ75XNDH&srno=b_2542&ref=a63d222e-bb67-4f97-abb8-6fa8736c2ae8,"Rs. 3,985",MOBDBJNGGJ75XNDH,LG Cookie Smart T 375 (White Titan)
/salora-sm204/p/itmdtqf8faw5shgn?pid=MOBDTQF5EFZTK8EH&srno=b_2579&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,N/A,MOBDTQF5EFZTK8EH,Salora SM204 (White)
/intex-aura-nx/p/itmdszp2spj7wmuz?pid=MOBDUH8HWYWGGZPV&srno=b_2580&ref=371bcf2f-9b98-4ff9-bfa7-fa9fd2b2258f,"Rs. 1,429",MOBDUH8HWYWGGZPV,Intex Aura NX (White)
